section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
education,TRUE,Menig Ingeniørbataljonen,Forsvaret - Hæren,Skjold,2020,2021,Førstegangstjeneste i Oversettingstroppen med grunnleggende soldatutdanning.,"Førerkort Klasse C (lastebil), Pongtongfører på ferge og byggekurs på baileybro.","Erfaring med forsvarets sambandsmateriell. ","Tipp, krok, vinsj, og bakløft modul til Scania/Man."
education,TRUE,TAF Elektro (Tekniske og Allmenene fag),Knarvik VGS,Knarvik,2016,2020,"En videregående linje som kombinerer spesiell studiekompetanse med fordypning i matte og fysikk med programfag i elektro/data, jobb og fagbrev.",Linjen ble skapt for å dyrke gode ingeniører med både teoretisk og praktisk kompetanse. Gjennom 4 år tilbringes halve uken i jobb og halve uken på skolen.,Link til vitnemålet mitt ser du på høyre side. Se også https://taf.no/.,
job,TRUE,"Bro/Fergesoldat, Tr.ass, Vf Scania",Forsvaret,Skjold,2020,2021,"Som troppsassistent og vognfører hadde jeg et spesielt ansvar for troppens materiell, utstyr og kjøretøyet mitt.",Som tropp øker Oversettning mobilitet og framkommelighet for Brigade Nord over våte og tørre gap ved å konstruere ferger og broer.,,
job,TRUE,TAF hospitering,Aanderaa Data Instruments,Bergen,2019,2019,3 uker hospitering med fokus på lodding og produksjonselektronikk. Støttet på produksjon av Aanderaa sine undervannssensorer.,,,
job,TRUE,Teknikker / TAF Lærling,MarinIT,Bergen,2016,2020,"De to første årene i Support avdelingen med fokus på kundebehandling og de to siste i Operations med fokus på drift av nettverk, servere og andre systemer.","Erfaring med: kundesupport og feilsøking lokalt og remote, Microsoft/Azure skytjenester og On-prem servere, enkel powershell scripting og automatisering, logistikk og lagerdrift, patching og enkel konfigurering av Juniper firewall og switcher.","Ansvarsoppgaver som: vakttelefon, testing etter vedlikehold og selvstendig arbeid hos kunde på lokasjoner som skip og kontorer i utlandet.",
job,TRUE,Teknikker / Sommerjobb,MarinIT,Bergen,2020,2020,Jobbet fast i MarinIT fra lærlingskontrakten gikk ut og til innrykk i forsvaret.,,,
sertifications,TRUE,Førerkort:,"Klasse AM, B, C og T. Truck Klasse T1, T2 og T4.",,,,,,,
sertifications,TRUE,Fagbrev,Produksjonselektronikerfaget -  PRO3001.,,,,,,,
sertifications,TRUE,Microsoft,Azure AI Fundamenals.,,,,,,,
intrests,TRUE,Data,,,,,"Linux, Docker/kubernetes, Infrastructure as code, automatisering og enkel maskinlæring.","Grunnleggende forståelse av Python, HTML, JS og C#.",,
intrests,TRUE,Elektro,,,,,"Feilsøking, reparasjon og modifisering av diverse elektroniske produkter.",Prototyping med Arduino og Iot,,
refrences,TRUE,Oppgis ved forespørsel,,,,,,,,